username,repo_name,stars,repo_url
amphp,amp,4100,https://github.com/amphp/amp
danog,MadelineProto,2500,https://github.com/danog/MadelineProto
unreal4u,telegram-api,768,https://github.com/unreal4u/telegram-api
amphp,parallel,700,https://github.com/amphp/parallel
amphp,http-client,671,https://github.com/amphp/http-client
amphp,byte-stream,349,https://github.com/amphp/byte-stream
php-service-bus,service-bus,347,https://github.com/php-service-bus/service-bus
amphp,mysql,330,https://github.com/amphp/mysql
amphp,parallel-functions,250,https://github.com/amphp/parallel-functions
amphp,process,218,https://github.com/amphp/process
amphp,socket,200,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,198,https://github.com/xtrime-ru/TelegramRSS
amphp,sync,146,https://github.com/amphp/sync
amphp,dns,142,https://github.com/amphp/dns
amphp,redis,141,https://github.com/amphp/redis
amphp,websocket-client,127,https://github.com/amphp/websocket-client
kelunik,acme,121,https://github.com/kelunik/acme
amphp,websocket-server,105,https://github.com/amphp/websocket-server
amphp,serialization,100,https://github.com/amphp/serialization
amphp,cache,91,https://github.com/amphp/cache
